combination,emd
"(C, ); (A, C)",1.986328125
"(, ); (BC, A)",1.94140625
"(BC, A); (, )",1.94140625
"(, A); (BC, )",2.0322265625
"(BC, ); (, A)",2.0322265625
"(B, ); (C, A)",1.986328125
"(C, A); (B, )",1.986328125
"(B, A); (C, )",1.986328125
"(C, ); (B, A)",1.986328125
"(, ); (BC, B)",1.94140625
"(BC, B); (, )",1.94140625
"(, B); (BC, )",2.0322265625
"(BC, ); (, B)",2.0322265625
"(B, ); (C, B)",1.986328125
"(C, B); (B, )",1.986328125
"(B, B); (C, )",1.986328125
"(C, ); (B, B)",1.986328125
"(, ); (BC, C)",1.94140625
"(BC, C); (, )",1.94140625
"(, C); (BC, )",2.0322265625
"(BC, ); (, C)",2.0322265625
"(B, ); (C, C)",1.986328125
"(C, C); (B, )",1.986328125
"(B, C); (C, )",1.986328125
"(C, ); (B, C)",1.986328125
"(, ); (AB, AB)",2.125
"(AB, AB); (, )",2.125
"(, A); (AB, B)",1.94140625
"(AB, B); (, A)",1.94140625
"(, B); (AB, A)",1.94140625
"(AB, A); (, B)",1.94140625
"(, AB); (AB, )",2.0322265625
"(AB, ); (, AB)",2.0322265625
"(A, ); (B, AB)",2.078125
"(B, AB); (A, )",2.078125
"(A, A); (B, B)",1.94140625
"(B, B); (A, A)",1.94140625
"(A, B); (B, A)",1.94140625
"(B, A); (A, B)",1.94140625
"(A, AB); (B, )",2.078125
"(B, ); (A, AB)",2.078125
"(, ); (AB, AC)",2.125
"(AB, AC); (, )",2.125
"(, A); (AB, C)",1.94140625
"(AB, C); (, A)",1.94140625
"(, C); (AB, A)",1.94140625
"(AB, A); (, C)",1.94140625
"(, AC); (AB, )",2.0322265625
"(AB, ); (, AC)",2.0322265625
"(A, ); (B, AC)",2.078125
"(B, AC); (A, )",2.078125
"(A, A); (B, C)",1.94140625
"(B, C); (A, A)",1.94140625
"(A, C); (B, A)",1.94140625
"(B, A); (A, C)",1.94140625
"(A, AC); (B, )",2.078125
"(B, ); (A, AC)",2.078125
"(, ); (AB, BC)",2.125
"(AB, BC); (, )",2.125
"(, B); (AB, C)",1.94140625
"(AB, C); (, B)",1.94140625
"(, C); (AB, B)",1.94140625
"(AB, B); (, C)",1.94140625
"(, BC); (AB, )",2.0322265625
"(AB, ); (, BC)",2.0322265625
"(A, ); (B, BC)",2.078125
"(B, BC); (A, )",2.078125
"(A, B); (B, C)",1.94140625
"(B, C); (A, B)",1.94140625
"(A, C); (B, B)",1.94140625
"(B, B); (A, C)",1.94140625
"(A, BC); (B, )",2.078125
"(B, ); (A, BC)",2.078125
"(, ); (AC, AB)",2.125
"(AC, AB); (, )",2.125
"(, A); (AC, B)",1.94140625
"(AC, B); (, A)",1.94140625
"(, B); (AC, A)",1.94140625
"(AC, A); (, B)",1.94140625
"(, AB); (AC, )",2.0322265625
"(AC, ); (, AB)",2.0322265625
"(A, ); (C, AB)",2.078125
"(C, AB); (A, )",2.078125
"(A, A); (C, B)",1.94140625
"(C, B); (A, A)",1.94140625
"(A, B); (C, A)",1.94140625
"(C, A); (A, B)",1.94140625
"(A, AB); (C, )",2.078125
"(C, ); (A, AB)",2.078125
"(, ); (AC, AC)",2.125
"(AC, AC); (, )",2.125
"(, A); (AC, C)",1.94140625
"(AC, C); (, A)",1.94140625
"(, C); (AC, A)",1.94140625
"(AC, A); (, C)",1.94140625
"(, AC); (AC, )",2.0322265625
"(AC, ); (, AC)",2.0322265625
"(A, ); (C, AC)",2.078125
"(C, AC); (A, )",2.078125
"(A, A); (C, C)",1.94140625
"(C, C); (A, A)",1.94140625
"(A, C); (C, A)",1.94140625
"(C, A); (A, C)",1.94140625
"(A, AC); (C, )",2.078125
"(C, ); (A, AC)",2.078125
"(, ); (AC, BC)",2.125
"(AC, BC); (, )",2.125
"(, B); (AC, C)",1.94140625
"(AC, C); (, B)",1.94140625
"(, C); (AC, B)",1.94140625
"(AC, B); (, C)",1.94140625
"(, BC); (AC, )",2.0322265625
"(AC, ); (, BC)",2.0322265625
"(A, ); (C, BC)",2.078125
"(C, BC); (A, )",2.078125
"(A, B); (C, C)",1.94140625
"(C, C); (A, B)",1.94140625
"(A, C); (C, B)",1.94140625
"(C, B); (A, C)",1.94140625
"(A, BC); (C, )",2.078125
"(C, ); (A, BC)",2.078125
"(, ); (BC, AB)",2.125
"(BC, AB); (, )",2.125
"(, A); (BC, B)",1.94140625
"(BC, B); (, A)",1.94140625
"(, B); (BC, A)",1.94140625
"(BC, A); (, B)",1.94140625
"(, AB); (BC, )",2.0322265625
"(BC, ); (, AB)",2.0322265625
"(B, ); (C, AB)",2.078125
"(C, AB); (B, )",2.078125
"(B, A); (C, B)",1.94140625
"(C, B); (B, A)",1.94140625
"(B, B); (C, A)",1.94140625
"(C, A); (B, B)",1.94140625
"(B, AB); (C, )",2.078125
"(C, ); (B, AB)",2.078125
"(, ); (BC, AC)",2.125
"(BC, AC); (, )",2.125
"(, A); (BC, C)",1.94140625
"(BC, C); (, A)",1.94140625
"(, C); (BC, A)",1.94140625
"(BC, A); (, C)",1.94140625
"(, AC); (BC, )",2.0322265625
"(BC, ); (, AC)",2.0322265625
"(B, ); (C, AC)",2.078125
"(C, AC); (B, )",2.078125
"(B, A); (C, C)",1.94140625
"(C, C); (B, A)",1.94140625
"(B, C); (C, A)",1.94140625
"(C, A); (B, C)",1.94140625
"(B, AC); (C, )",2.078125
"(C, ); (B, AC)",2.078125
"(, ); (BC, BC)",2.125
"(BC, BC); (, )",2.125
"(, B); (BC, C)",1.94140625
"(BC, C); (, B)",1.94140625
"(, C); (BC, B)",1.94140625
"(BC, B); (, C)",1.94140625
"(, BC); (BC, )",2.0322265625
"(BC, ); (, BC)",2.0322265625
"(B, ); (C, BC)",2.078125
"(C, BC); (B, )",2.078125
"(B, B); (C, C)",1.94140625
"(C, C); (B, B)",1.94140625
"(B, C); (C, B)",1.94140625
"(C, B); (B, C)",1.94140625
"(B, BC); (C, )",2.078125
"(C, ); (B, BC)",2.078125
"(, ); (AB, ABC)",0.125
"(AB, ABC); (, )",0.125
"(, A); (AB, BC)",2.125
"(AB, BC); (, A)",2.125
"(, B); (AB, AC)",2.125
"(AB, AC); (, B)",2.125
"(, C); (AB, AB)",2.125
"(AB, AB); (, C)",2.125
"(, AB); (AB, C)",1.94140625
"(AB, C); (, AB)",1.94140625
"(, BC); (AB, A)",1.94140625
"(AB, A); (, BC)",1.94140625
"(, ABC); (AB, )",2.0322265625
"(AB, ); (, ABC)",2.0322265625
"(A, ); (B, ABC)",0.609375
"(B, ABC); (A, )",0.609375
"(A, A); (B, BC)",2.03125
"(B, BC); (A, A)",2.03125
"(A, B); (B, AC)",2.03125
"(B, AC); (A, B)",2.03125
"(A, C); (B, AB)",2.03125
"(B, AB); (A, C)",2.03125
"(A, AB); (B, C)",2.03125
"(B, C); (A, AB)",2.03125
"(A, BC); (B, A)",2.03125
"(B, A); (A, BC)",2.03125
"(A, ABC); (B, )",0.609375
"(B, ); (A, ABC)",0.609375
"(B, B); (A, AC)",2.03125
"(A, AC); (B, B)",2.03125
"(AB, B); (, AC)",1.94140625
"(, AC); (AB, B)",1.94140625
"(, ); (AC, ABC)",0.125
"(AC, ABC); (, )",0.125
"(, A); (AC, BC)",2.125
"(AC, BC); (, A)",2.125
"(, B); (AC, AC)",2.125
"(AC, AC); (, B)",2.125
"(, C); (AC, AB)",2.125
"(AC, AB); (, C)",2.125
"(, AB); (AC, C)",1.94140625
"(AC, C); (, AB)",1.94140625
"(, BC); (AC, A)",1.94140625
"(AC, A); (, BC)",1.94140625
"(, ABC); (AC, )",2.0322265625
"(AC, ); (, ABC)",2.0322265625
"(A, ); (C, ABC)",0.609375
"(C, ABC); (A, )",0.609375
"(A, A); (C, BC)",2.03125
"(C, BC); (A, A)",2.03125
"(A, B); (C, AC)",2.03125
"(C, AC); (A, B)",2.03125
"(A, C); (C, AB)",2.03125
"(C, AB); (A, C)",2.03125
"(A, AB); (C, C)",2.03125
"(C, C); (A, AB)",2.03125
"(A, BC); (C, A)",2.03125
"(C, A); (A, BC)",2.03125
"(A, ABC); (C, )",0.609375
"(C, ); (A, ABC)",0.609375
"(C, B); (A, AC)",2.03125
"(A, AC); (C, B)",2.03125
"(AC, B); (, AC)",1.94140625
"(, AC); (AC, B)",1.94140625
"(, ); (BC, ABC)",0.125
"(BC, ABC); (, )",0.125
"(, A); (BC, BC)",2.125
"(BC, BC); (, A)",2.125
"(, B); (BC, AC)",2.125
"(BC, AC); (, B)",2.125
"(, C); (BC, AB)",2.125
"(BC, AB); (, C)",2.125
"(, AB); (BC, C)",1.94140625
"(BC, C); (, AB)",1.94140625
