combination,emd,System,Tiempo
"(['E']); (['CN', 'DN'])",0.1875,"('E', 'CD')",00:00.001004
"(['E']); (['CN', 'EN'])",0.1875,"('E', 'CE')",00:00.000934
"(['E']); (['CN', 'FN'])",0.1875,"('E', 'CF')",00:00.000994
"(['E']); (['DN', 'EN'])",0.1875,"('E', 'DE')",00:00.000982
"(['E']); (['DN', 'FN'])",0.1875,"('E', 'DF')",00:00.001978
"(['E']); (['EN', 'FN'])",0.1875,"('E', 'EF')",00:00.002137
"(['F']); (['AN', 'BN'])",0.1875,"('F', 'AB')",00:00.002007
"(['F']); (['AN', 'CN'])",0.1875,"('F', 'AC')",00:00.002002
"(['F']); (['AN', 'DN'])",0.1875,"('F', 'AD')",00:00.001998
"(['F']); (['AN', 'EN'])",0.1875,"('F', 'AE')",00:00.001983
"(['F']); (['AN', 'FN'])",0.1875,"('F', 'AF')",00:00.001566
"(['F']); (['BN', 'CN'])",0.1875,"('F', 'BC')",00:00.002006
"(['F']); (['BN', 'DN'])",0.1875,"('F', 'BD')",00:00.002001
"(['F']); (['BN', 'EN'])",0.1875,"('F', 'BE')",00:00.001104
"(['F']); (['BN', 'FN'])",0.1875,"('F', 'BF')",00:00.001528
"(['F']); (['CN', 'DN'])",0.1875,"('F', 'CD')",00:00.001018
"(['F']); (['CN', 'EN'])",0.1875,"('F', 'CE')",00:00.001982
"(['F']); (['CN', 'FN'])",0.1875,"('F', 'CF')",00:00.001023
"(['F']); (['DN', 'EN'])",0.1875,"('F', 'DE')",00:00.000999
"(['F']); (['DN', 'FN'])",0.1875,"('F', 'DF')",00:00.001506
"(['F']); (['EN', 'FN'])",0.1875,"('F', 'EF')",00:00.002009
"(['A']); (['AN', 'BN', 'CN'])",0.09375,"('A', 'ABC')",00:00.004997
"(['A']); (['AN', 'BN', 'DN'])",0.09375,"('A', 'ABD')",00:00.004826
"(['A']); (['AN', 'BN', 'EN'])",0.09375,"('A', 'ABE')",00:00.005534
"(['A']); (['AN', 'BN', 'FN'])",0.09375,"('A', 'ABF')",00:00.004984
"(['A']); (['AN', 'CN', 'DN'])",0.09375,"('A', 'ACD')",00:00.005059
"(['A']); (['AN', 'CN', 'EN'])",0.09375,"('A', 'ACE')",00:00.005565
"(['A']); (['AN', 'CN', 'FN'])",0.09375,"('A', 'ACF')",00:00.005192
"(['A']); (['AN', 'DN', 'EN'])",0.09375,"('A', 'ADE')",00:00.006376
"(['A']); (['AN', 'DN', 'FN'])",0.09375,"('A', 'ADF')",00:00.006001
"(['A']); (['AN', 'EN', 'FN'])",0.09375,"('A', 'AEF')",00:00.005574
"(['A']); (['BN', 'CN', 'DN'])",0.09375,"('A', 'BCD')",00:00.006053
"(['A']); (['BN', 'CN', 'EN'])",0.09375,"('A', 'BCE')",00:00.005999
"(['A']); (['BN', 'CN', 'FN'])",0.09375,"('A', 'BCF')",00:00.006528
"(['A']); (['BN', 'DN', 'EN'])",0.09375,"('A', 'BDE')",00:00.005534
"(['A']); (['BN', 'DN', 'FN'])",0.09375,"('A', 'BDF')",00:00.007088
"(['A']); (['BN', 'EN', 'FN'])",0.09375,"('A', 'BEF')",00:00.009526
"(['A']); (['CN', 'DN', 'EN'])",0.09375,"('A', 'CDE')",00:00.008004
"(['A']); (['CN', 'DN', 'FN'])",0.09375,"('A', 'CDF')",00:00.005552
"(['A']); (['CN', 'EN', 'FN'])",0.09375,"('A', 'CEF')",00:00.004496
"(['A']); (['DN', 'EN', 'FN'])",0.09375,"('A', 'DEF')",00:00.006905
"(['B']); (['AN', 'BN', 'CN'])",0.09375,"('B', 'ABC')",00:00.002515
"(['B']); (['AN', 'BN', 'DN'])",0.09375,"('B', 'ABD')",00:00.005001
"(['B']); (['AN', 'BN', 'EN'])",0.09375,"('B', 'ABE')",00:00.005582
"(['B']); (['AN', 'BN', 'FN'])",0.09375,"('B', 'ABF')",00:00.005000
"(['B']); (['AN', 'CN', 'DN'])",0.09375,"('B', 'ACD')",00:00.004945
"(['B']); (['AN', 'CN', 'EN'])",0.09375,"('B', 'ACE')",00:00.006011
"(['B']); (['AN', 'CN', 'FN'])",0.09375,"('B', 'ACF')",00:00.006000
"(['B']); (['AN', 'DN', 'EN'])",0.09375,"('B', 'ADE')",00:00.007122
"(['B']); (['AN', 'DN', 'FN'])",0.09375,"('B', 'ADF')",00:00.005544
"(['B']); (['AN', 'EN', 'FN'])",0.09375,"('B', 'AEF')",00:00.004984
"(['B']); (['BN', 'CN', 'DN'])",0.09375,"('B', 'BCD')",00:00.003527
"(['B']); (['BN', 'CN', 'EN'])",0.09375,"('B', 'BCE')",00:00.003984
"(['B']); (['BN', 'CN', 'FN'])",0.09375,"('B', 'BCF')",00:00.003839
"(['B']); (['BN', 'DN', 'EN'])",0.09375,"('B', 'BDE')",00:00.006030
"(['B']); (['BN', 'DN', 'FN'])",0.09375,"('B', 'BDF')",00:00.004259
"(['B']); (['BN', 'EN', 'FN'])",0.09375,"('B', 'BEF')",00:00.004001
"(['B']); (['CN', 'DN', 'EN'])",0.09375,"('B', 'CDE')",00:00.003764
"(['B']); (['CN', 'DN', 'FN'])",0.09375,"('B', 'CDF')",00:00.004845
"(['B']); (['CN', 'EN', 'FN'])",0.09375,"('B', 'CEF')",00:00.006598
"(['B']); (['DN', 'EN', 'FN'])",0.09375,"('B', 'DEF')",00:00.005080
"(['C']); (['AN', 'BN', 'CN'])",0.09375,"('C', 'ABC')",00:00.005553
"(['C']); (['AN', 'BN', 'DN'])",0.09375,"('C', 'ABD')",00:00.005999
"(['C']); (['AN', 'BN', 'EN'])",0.09375,"('C', 'ABE')",00:00.005113
"(['C']); (['AN', 'BN', 'FN'])",0.09375,"('C', 'ABF')",00:00.006742
"(['C']); (['AN', 'CN', 'DN'])",0.09375,"('C', 'ACD')",00:00.006740
"(['C']); (['AN', 'CN', 'EN'])",0.09375,"('C', 'ACE')",00:00.004897
"(['C']); (['AN', 'CN', 'FN'])",0.09375,"('C', 'ACF')",00:00.005822
"(['C']); (['AN', 'DN', 'EN'])",0.09375,"('C', 'ADE')",00:00.004992
"(['C']); (['AN', 'DN', 'FN'])",0.09375,"('C', 'ADF')",00:00.004823
"(['C']); (['AN', 'EN', 'FN'])",0.09375,"('C', 'AEF')",00:00.005510
"(['C']); (['BN', 'CN', 'DN'])",0.09375,"('C', 'BCD')",00:00.004932
"(['C']); (['BN', 'CN', 'EN'])",0.09375,"('C', 'BCE')",00:00.004725
"(['C']); (['BN', 'CN', 'FN'])",0.09375,"('C', 'BCF')",00:00.004994
"(['C']); (['BN', 'DN', 'EN'])",0.09375,"('C', 'BDE')",00:00.004811
"(['C']); (['BN', 'DN', 'FN'])",0.09375,"('C', 'BDF')",00:00.004009
"(['C']); (['BN', 'EN', 'FN'])",0.09375,"('C', 'BEF')",00:00.004855
"(['C']); (['CN', 'DN', 'EN'])",0.09375,"('C', 'CDE')",00:00.005718
"(['C']); (['CN', 'DN', 'FN'])",0.09375,"('C', 'CDF')",00:00.005889
"(['C']); (['CN', 'EN', 'FN'])",0.09375,"('C', 'CEF')",00:00.005841
"(['C']); (['DN', 'EN', 'FN'])",0.09375,"('C', 'DEF')",00:00.005840
"(['D']); (['AN', 'BN', 'CN'])",0.09375,"('D', 'ABC')",00:00.004922
"(['D']); (['AN', 'BN', 'DN'])",0.09375,"('D', 'ABD')",00:00.006522
"(['D']); (['AN', 'BN', 'EN'])",0.09375,"('D', 'ABE')",00:00.003994
"(['D']); (['AN', 'BN', 'FN'])",0.09375,"('D', 'ABF')",00:00.003129
"(['D']); (['AN', 'CN', 'DN'])",0.09375,"('D', 'ACD')",00:00.002980
"(['D']); (['AN', 'CN', 'EN'])",0.09375,"('D', 'ACE')",00:00.003001
"(['D']); (['AN', 'CN', 'FN'])",0.09375,"('D', 'ACF')",00:00.002565
"(['D']); (['AN', 'DN', 'EN'])",0.09375,"('D', 'ADE')",00:00.003003
"(['D']); (['AN', 'DN', 'FN'])",0.09375,"('D', 'ADF')",00:00.006516
"(['D']); (['AN', 'EN', 'FN'])",0.09375,"('D', 'AEF')",00:00.005997
"(['D']); (['BN', 'CN', 'DN'])",0.09375,"('D', 'BCD')",00:00.005582
"(['D']); (['BN', 'CN', 'EN'])",0.09375,"('D', 'BCE')",00:00.005486
"(['D']); (['BN', 'CN', 'FN'])",0.09375,"('D', 'BCF')",00:00.006989
"(['D']); (['BN', 'DN', 'EN'])",0.09375,"('D', 'BDE')",00:00.012036
"(['D']); (['BN', 'DN', 'FN'])",0.09375,"('D', 'BDF')",00:00.006053
"(['D']); (['BN', 'EN', 'FN'])",0.09375,"('D', 'BEF')",00:00.012933
"(['D']); (['CN', 'DN', 'EN'])",0.09375,"('D', 'CDE')",00:00.008896
